TimePeriod,Service,UsageType,Operation,BlendedCost,AWS Service,Region,Resource Type,Resource ID
"{'Start': '2023-07-30T19:55:15.910333', 'End': '2023-11-22T19:55:15.910335'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 18.62, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-07-29T19:55:15.910342', 'End': '2023-11-22T19:55:15.910345'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 15.59, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-07-28T19:55:15.910350', 'End': '2023-11-22T19:55:15.910352'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 23.56, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-07-27T19:55:15.910357', 'End': '2023-11-22T19:55:15.910359'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 61.83, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-07-26T19:55:15.910365', 'End': '2023-11-22T19:55:15.910367'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 12.67, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-07-25T19:55:15.910372', 'End': '2023-11-22T19:55:15.910374'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 34.81, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-07-24T19:55:15.910380', 'End': '2023-11-22T19:55:15.910383'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 48.59, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-07-23T19:55:15.910387', 'End': '2023-11-22T19:55:15.910389'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 67.53, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-07-22T19:55:15.910394', 'End': '2023-11-22T19:55:15.910396'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 78.29, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-07-21T19:55:15.910401', 'End': '2023-11-22T19:55:15.910403'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 10.28, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-07-20T19:55:15.910407', 'End': '2023-11-22T19:55:15.910409'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 44.89, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-07-19T19:55:15.910414', 'End': '2023-11-22T19:55:15.910416'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 24.96, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-07-18T19:55:15.910421', 'End': '2023-11-22T19:55:15.910422'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 58.98, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-07-17T19:55:15.910427', 'End': '2023-11-22T19:55:15.910431'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 35.53, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-07-16T19:55:15.910438', 'End': '2023-11-22T19:55:15.910440'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 70.14, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-07-15T19:55:15.910445', 'End': '2023-11-22T19:55:15.910449'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 15.4, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-07-14T19:55:15.910454', 'End': '2023-11-22T19:55:15.910455'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 53.78, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-07-13T19:55:15.910460', 'End': '2023-11-22T19:55:15.910462'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 25.44, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-07-12T19:55:15.910467', 'End': '2023-11-22T19:55:15.910469'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 48.02, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-07-11T19:55:15.910473', 'End': '2023-11-22T19:55:15.910475'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 60.08, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-07-10T19:55:15.910480', 'End': '2023-11-22T19:55:15.910482'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 23.04, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-07-09T19:55:15.910486', 'End': '2023-11-22T19:55:15.910488'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 50.08, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-07-08T19:55:15.910493', 'End': '2023-11-22T19:55:15.910494'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 57.96, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-07-07T19:55:15.910499', 'End': '2023-11-22T19:55:15.910501'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 76.93, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-07-06T19:55:15.910506', 'End': '2023-11-22T19:55:15.910508'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 62.37, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-07-05T19:55:15.910514', 'End': '2023-11-22T19:55:15.910516'}",EC2,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 38.23, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-07-04T19:55:15.910521', 'End': '2023-11-22T19:55:15.910523'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 28.56, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-07-03T19:55:15.910530', 'End': '2023-11-22T19:55:15.910532'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 68.85, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-07-02T19:55:15.910537', 'End': '2023-11-22T19:55:15.910539'}",EC2,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 58.48, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-07-01T19:55:15.910543', 'End': '2023-11-22T19:55:15.910545'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 28.91, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-06-30T19:55:15.910550', 'End': '2023-11-22T19:55:15.910552'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 98.76, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-06-29T19:55:15.910558', 'End': '2023-11-22T19:55:15.910560'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 11.67, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-06-28T19:55:15.910565', 'End': '2023-11-22T19:55:15.910567'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 87.32, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-06-27T19:55:15.910572', 'End': '2023-11-22T19:55:15.910574'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 83.0, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-06-26T19:55:15.910579', 'End': '2023-11-22T19:55:15.910581'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 79.63, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-06-25T19:55:15.910586', 'End': '2023-11-22T19:55:15.910588'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 63.56, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-06-24T19:55:15.910592', 'End': '2023-11-22T19:55:15.910596'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 35.42, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-06-23T19:55:15.910603', 'End': '2023-11-22T19:55:15.910607'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 92.6, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-06-22T19:55:15.910612', 'End': '2023-11-22T19:55:15.910614'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 77.55, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-06-21T19:55:15.910618', 'End': '2023-11-22T19:55:15.910620'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 95.4, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-06-20T19:55:15.910628', 'End': '2023-11-22T19:55:15.910630'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 82.24, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-06-19T19:55:15.910635', 'End': '2023-11-22T19:55:15.910636'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 93.31, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-06-18T19:55:15.910641', 'End': '2023-11-22T19:55:15.910643'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 80.52, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-06-17T19:55:15.910648', 'End': '2023-11-22T19:55:15.910650'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 56.2, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-06-16T19:55:15.910654', 'End': '2023-11-22T19:55:15.910656'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 38.46, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-06-15T19:55:15.910661', 'End': '2023-11-22T19:55:15.910663'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 24.35, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-06-14T19:55:15.910668', 'End': '2023-11-22T19:55:15.910670'}",EC2,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 83.81, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-06-13T19:55:15.910674', 'End': '2023-11-22T19:55:15.910678'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 33.72, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-06-12T19:55:15.910683', 'End': '2023-11-22T19:55:15.910685'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 70.94, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-06-11T19:55:15.910690', 'End': '2023-11-22T19:55:15.910692'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 55.55, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-06-10T19:55:15.910697', 'End': '2023-11-22T19:55:15.910699'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 93.59, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-06-09T19:55:15.910704', 'End': '2023-11-22T19:55:15.910705'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 93.88, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-06-08T19:55:15.910710', 'End': '2023-11-22T19:55:15.910712'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 16.88, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-06-07T19:55:15.910717', 'End': '2023-11-22T19:55:15.910718'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 50.14, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-06-06T19:55:15.910725', 'End': '2023-11-22T19:55:15.910727'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 34.23, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-06-05T19:55:15.910732', 'End': '2023-11-22T19:55:15.910734'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 48.79, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-06-04T19:55:15.910739', 'End': '2023-11-22T19:55:15.910742'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 23.73, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-06-03T19:55:15.910748', 'End': '2023-11-22T19:55:15.910751'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 62.45, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-06-02T19:55:15.910757', 'End': '2023-11-22T19:55:15.910761'}",EC2,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 21.4, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-06-01T19:55:15.910766', 'End': '2023-11-22T19:55:15.910770'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 55.26, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-31T19:55:15.910775', 'End': '2023-11-22T19:55:15.910777'}",EC2,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 89.91, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-05-30T19:55:15.910781', 'End': '2023-11-22T19:55:15.910783'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 34.16, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-29T19:55:15.910788', 'End': '2023-11-22T19:55:15.910790'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 15.75, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-05-28T19:55:15.910795', 'End': '2023-11-22T19:55:15.910796'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 31.06, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-05-27T19:55:15.910801', 'End': '2023-11-22T19:55:15.910803'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 67.16, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-05-26T19:55:15.910808', 'End': '2023-11-22T19:55:15.910810'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 62.86, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-05-25T19:55:15.910814', 'End': '2023-11-22T19:55:15.910816'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 28.1, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-24T19:55:15.910823', 'End': '2023-11-22T19:55:15.910825'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 80.16, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-05-23T19:55:15.910830', 'End': '2023-11-22T19:55:15.910832'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 83.07, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-22T19:55:15.910836', 'End': '2023-11-22T19:55:15.910838'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 33.31, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-21T19:55:15.910843', 'End': '2023-11-22T19:55:15.910845'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 19.23, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-05-20T19:55:15.910851', 'End': '2023-11-22T19:55:15.910853'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 57.72, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-05-19T19:55:15.910858', 'End': '2023-11-22T19:55:15.910860'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 12.14, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-05-18T19:55:15.910864', 'End': '2023-11-22T19:55:15.910866'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 83.53, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-05-17T19:55:15.910871', 'End': '2023-11-22T19:55:15.910873'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 21.98, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-05-16T19:55:15.910878', 'End': '2023-11-22T19:55:15.910880'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 58.33, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-15T19:55:15.910886', 'End': '2023-11-22T19:55:15.910888'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 73.23, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-14T19:55:15.910893', 'End': '2023-11-22T19:55:15.910895'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 82.77, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-05-13T19:55:15.910900', 'End': '2023-11-22T19:55:15.910902'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 91.12, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-12T19:55:15.910906', 'End': '2023-11-22T19:55:15.910910'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 48.98, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-11T19:55:15.910917', 'End': '2023-11-22T19:55:15.910919'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 48.3, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-10T19:55:15.910924', 'End': '2023-11-22T19:55:15.910926'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 28.14, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-05-09T19:55:15.910932', 'End': '2023-11-22T19:55:15.910936'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 83.97, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-05-08T19:55:15.910941', 'End': '2023-11-22T19:55:15.910943'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 70.95, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-05-07T19:55:15.910947', 'End': '2023-11-22T19:55:15.910949'}",EC2,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 20.33, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-06T19:55:15.910954', 'End': '2023-11-22T19:55:15.910956'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 45.97, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-05T19:55:15.910961', 'End': '2023-11-22T19:55:15.910962'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 40.09, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-05-04T19:55:15.910967', 'End': '2023-11-22T19:55:15.910969'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 65.53, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-05-03T19:55:15.910974', 'End': '2023-11-22T19:55:15.910976'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 98.24, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-05-02T19:55:15.910980', 'End': '2023-11-22T19:55:15.910982'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 92.62, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-05-01T19:55:15.910988', 'End': '2023-11-22T19:55:15.910990'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 43.43, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-04-30T19:55:15.910994', 'End': '2023-11-22T19:55:15.910996'}",EC2,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 28.35, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-04-29T19:55:15.911001', 'End': '2023-11-22T19:55:15.911003'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 22.44, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-04-28T19:55:15.911009', 'End': '2023-11-22T19:55:15.911013'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 66.68, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-04-27T19:55:15.911018', 'End': '2023-11-22T19:55:15.911020'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 24.6, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-04-26T19:55:15.911024', 'End': '2023-11-22T19:55:15.911026'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 52.88, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-04-25T19:55:15.911031', 'End': '2023-11-22T19:55:15.911032'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 55.93, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-04-24T19:55:15.911037', 'End': '2023-11-22T19:55:15.911039'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 65.66, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-04-23T19:55:15.911043', 'End': '2023-11-22T19:55:15.911045'}",EC2,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 18.46, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-04-22T19:55:15.911050', 'End': '2023-11-22T19:55:15.911052'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 59.95, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-04-21T19:55:15.911057', 'End': '2023-11-22T19:55:15.911060'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 78.69, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-04-20T19:55:15.911065', 'End': '2023-11-22T19:55:15.911067'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 25.75, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-04-19T19:55:15.911071', 'End': '2023-11-22T19:55:15.911073'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 53.8, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-04-18T19:55:15.911078', 'End': '2023-11-22T19:55:15.911080'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 88.6, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-04-17T19:55:15.911084', 'End': '2023-11-22T19:55:15.911086'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 92.76, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-04-16T19:55:15.911092', 'End': '2023-11-22T19:55:15.911096'}",EC2,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 75.9, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-04-15T19:55:15.911127', 'End': '2023-11-22T19:55:15.911129'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 29.93, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-04-14T19:55:15.911137', 'End': '2023-11-22T19:55:15.911139'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 73.09, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2023-04-13T19:55:15.911146', 'End': '2023-11-22T19:55:15.911148'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 83.36, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-04-12T19:55:15.911153', 'End': '2023-11-22T19:55:15.911154'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 96.88, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-04-11T19:55:15.911159', 'End': '2023-11-22T19:55:15.911161'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 55.79, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-04-10T19:55:15.911165', 'End': '2023-11-22T19:55:15.911167'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 16.83, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-04-09T19:55:15.911174', 'End': '2023-11-22T19:55:15.911176'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 36.98, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2023-04-08T19:55:15.911181', 'End': '2023-11-22T19:55:15.911182'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 36.26, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2023-04-07T19:55:15.911187', 'End': '2023-11-22T19:55:15.911189'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 84.47, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
